TOA5,,CR800,43098,CR800.Std.32.02,CPU:CR800_WR417_COND_1459_5s.CR8,17980,Table1
TIMESTAMP,Time,RECORD,Cond_cor,Ct_raw,Temp_C,,
TS,,RN,mS/cm,mS/cm,Deg C,,
,,,Smp,Smp,Smp,,
15:03:30,1560,19970,0.752698,0.6443691,20.2,,
15:03:35,1565,19971,0.7517638,0.6443691,20.24,,
15:03:40,1570,19972,0.752698,0.6443691,20.2,,
15:03:45,1575,19973,0.7522656,0.6447992,20.24,,
15:03:50,1580,19974,0.751954,0.6447992,20.25,,
15:03:55,1585,19975,0.7535132,0.6447992,20.19,,
15:04:00,1590,19976,0.7513307,0.6447992,20.27,,
15:04:05,1595,19977,0.7525775,0.6447992,20.23,,
15:04:10,1600,19978,0.7511413,0.6443691,20.26,,
15:04:15,1605,19979,0.7522656,0.6447992,20.24,,
15:04:20,1610,19980,0.7522656,0.6447992,20.24,,
15:04:25,1615,19981,0.751954,0.6447992,20.25,,
15:04:30,1620,19982,0.7522656,0.6447992,20.24,,
15:04:35,1625,19983,0.7522656,0.6447992,20.24,,
15:04:40,1630,19984,0.7516426,0.6447992,20.26,,
15:04:45,1635,19985,0.7533224,0.6443691,20.18,,
15:04:50,1640,19986,0.7516426,0.6447992,20.26,,
15:04:55,1645,19987,0.7532005,0.6447992,20.2,,
15:05:00,1650,19988,0.7522277,0.6447874,20.24,,
15:05:05,1655,19989,0.7528517,0.6447874,20.22,,
15:05:10,1660,19990,0.7525396,0.6447874,20.23,,
15:05:15,1665,19991,0.753103,0.6450026,20.22,,
15:05:20,1670,19992,0.753103,0.6450026,20.22,,
15:05:25,1675,19993,0.7528517,0.6447874,20.22,,
15:05:30,1680,19994,0.7527908,0.6450026,20.23,,
15:05:35,1685,19995,0.7022632,0.6022087,20.25,,
15:05:40,1690,19996,0.7540396,0.6450026,20.18,,
15:05:45,1695,19997,0.7524788,0.6450026,20.24,,
15:05:50,1700,19998,0.7521671,0.6450026,20.25,,
15:05:55,1705,19999,0.7534147,0.6450026,20.2,,
15:06:00,1710,20000,0.7537274,0.6450026,20.19,,
15:06:05,1715,20001,0.7518565,0.6450026,20.26,,
15:06:10,1720,20002,0.7524788,0.6450026,20.24,,
15:06:15,1725,20003,0.7521671,0.6450026,20.25,,
15:06:20,1730,20004,0.7527908,0.6450026,20.23,,
15:06:25,1735,20005,0.7524183,0.645218,20.25,,
15:06:30,1740,20006,0.752131,0.644993,20.25,,
15:06:35,1745,20007,0.7518196,0.644993,20.26,,
15:06:40,1750,20008,0.7540026,0.644993,20.18,,
15:06:45,1755,20009,0.7533176,0.6452084,20.22,,
15:06:50,1760,20010,0.7527546,0.644993,20.23,,
15:06:55,1765,20011,0.7533176,0.6452084,20.22,,
15:07:00,1770,20012,0.7536302,0.6452084,20.2,,
15:07:05,1775,20013,0.753943,0.6452084,20.19,,
15:07:10,1780,20014,0.753943,0.6452084,20.19,,
15:07:15,1785,20015,0.7523823,0.6452084,20.25,,
15:07:20,1790,20016,0.7530061,0.6452084,20.23,,
15:07:25,1795,20017,0.7520707,0.6452084,20.26,,
15:07:30,1800,20018,0.7523823,0.6452084,20.25,,
15:07:35,1805,20019,0.7535689,0.6454237,20.22,,
15:07:40,1810,20020,0.7523823,0.6452084,20.25,,
15:07:45,1815,20021,0.7530061,0.6452084,20.23,,
15:07:50,1820,20022,0.753943,0.6452084,20.19,,
15:07:55,1825,20023,0.7526941,0.6452084,20.24,,
15:08:00,1830,20024,0.7530061,0.6452084,20.23,,
15:08:05,1835,20025,0.7523478,0.6452008,20.25,,
15:08:10,1840,20026,0.7541599,0.6454161,20.19,,
15:08:15,1845,20027,0.7467649,0.6396173,20.22,,
15:08:20,1850,20028,0.7529715,0.6452008,20.23,,
15:08:25,1855,20029,0.7532838,0.6452008,20.22,,
15:08:30,1860,20030,0.752037,0.6452008,20.26,,
15:08:35,1865,20031,0.752037,0.6452008,20.26,,
15:08:40,1870,20032,0.7528499,0.6456316,20.25,,
15:08:45,1875,20033,0.7519758,0.6454161,20.28,,
15:08:50,1880,20034,0.7540986,0.6456316,20.21,,
15:08:55,1885,20035,0.7538469,0.6454161,20.21,,
15:09:00,1890,20036,0.7538469,0.6454161,20.21,,
15:09:05,1895,20037,0.7519758,0.6454161,20.28,,
15:09:10,1900,20038,0.7544116,0.6456316,20.19,,
15:09:15,1905,20039,0.7528499,0.6456316,20.25,,
15:09:20,1910,20040,0.752539,0.6456316,20.26,,
15:09:25,1915,20041,0.752539,0.6456316,20.26,,
15:09:30,1920,20042,0.7522268,0.6456316,20.28,,
