Time,Run_time,Cond_cor
13:55:35,3290,961.4886
13:55:40,3295,962.0905
13:55:45,3300,961.4886
13:55:50,3305,962.2053
13:55:55,3310,962.2053
13:56:00,3315,962.2053
13:56:05,3320,961.6033
13:56:10,3325,961.6033
13:56:15,3330,961.6033
13:56:20,3335,961.8553
13:56:25,3340,961.6033
13:56:30,3345,961.6033
13:56:35,3350,961.6033
13:56:40,3355,961.6033
13:56:45,3360,961.0016
13:56:50,3365,961.0016
13:56:55,3370,961.2535
13:57:00,3375,961.8553
13:57:05,3380,961.2535
13:57:10,3385,961.8553
13:57:15,3390,961.8553
13:57:20,3395,961.8553
13:57:25,3400,962.4575
13:57:30,3405,962.8085
13:57:35,3410,962.8085
13:57:40,3415,961.6041
13:57:45,3420,962.4586
13:57:50,3425,961.8563
13:57:55,3430,961.8563
13:58:00,3435,961.8563
13:58:05,3440,961.8563
13:58:10,3445,961.8563
13:58:15,3450,973.6
13:58:20,3455,1021.562
13:58:25,3460,1116.93
13:58:30,3465,1142.392
13:58:35,3470,1173.613
13:58:40,3475,1188.419
13:58:45,3480,1172.912
13:58:50,3485,1145.828
13:58:55,3490,1151.342
13:59:00,3495,1097.427
13:59:05,3500,1092.781
13:59:10,3505,1057.542
13:59:15,3510,1026.873
13:59:20,3515,1017.427
13:59:25,3520,1001.829
13:59:30,3525,992.8159
13:59:35,3530,984.2153
13:59:40,3535,978.7155
13:59:45,3540,972.6308
13:59:50,3545,972.8862
13:59:55,3550,971.6722
14:00:00,3555,968.0372
14:00:05,3560,965.6191
14:00:10,3565,966.223
14:00:15,3570,965.8722
14:00:20,3575,965.8722
14:00:25,3580,963.4576
14:00:30,3585,963.4576
14:00:35,3590,962.2521
14:00:40,3595,962.8547
14:00:45,3600,962.5043
14:00:50,3605,962.5801
14:00:55,3610,962.5801
14:01:00,3615,962.5801
14:01:05,3620,962.5801
14:01:10,3625,962.5801
14:01:15,3630,962.5801
14:01:20,3635,7.069923
14:01:25,3640,2.528964
14:01:30,3645,1.826376
14:01:35,3650,1.365904
14:01:40,3655,20.94205
